,wave.pagetitle,wave.pageurl,wave.time,wave.allitemcount,wave.totalelements,wave.waveurl,wave.error.count,wave.contrast.count,wave.alert.count,wave.feature.count,wave.structure.count,wave.aria.count,ipeds.schoolname,ipeds.city,ipeds.state,ipeds.degrees_awarded.predominant,ipeds.degrees_awarded.highest,ipeds.ownership,ipeds.admission_rate.overall,ipeds.online_only,ipeds.attendance.academic_year,ipeds.attendance.program_year,ipeds.tuition.in_state,ipeds.tuition.out_of_state,ipeds.ft_faculty_rate,ipeds.institutional_characteristics.level,ipeds.endowment.begin,ipeds.size,ipeds.avg_net_price.public,ipeds.avg_net_price.private
49,Universal Technical Institute | Trade & Technical School,uti.edu,5.02,1001,3355,http://wave.webaim.org/report?url=www.uti.edu/,25,26,95,59,108,688,Universal Technical Institute-Southern California,Long Beach,CA,2,2,3,,0.0,,28886.0,,,,2,,1182.0,,24340.0
50,Universal Technical Institute | Trade & Technical School,uti.edu,5.02,1001,3355,http://wave.webaim.org/report?url=www.uti.edu/,25,26,95,59,108,688,Universal Technical Institute-Bloomfield,Bloomfield,NJ,1,1,3,,0.0,,27893.0,,,,2,,940.0,,23763.0
51,Home - Roberto-Venn,roberto-venn.com,4.32,225,780,http://wave.webaim.org/report?url=www.roberto-venn.com/,2,31,25,14,33,120,Roberto-Venn School of Luthiery,Phoenix,AZ,1,1,3,,0.0,,24900.0,,,,3,,23.0,,21557.0
52,University of Arkansas for Medical Sciences (UAMS),uams.edu,4.02,204,488,http://wave.webaim.org/report?url=www.uams.edu/,1,3,67,9,47,77,University of Arkansas for Medical Sciences,Little Rock,AR,3,4,1,,0.0,,,,,0.8824,1,60485000.0,838.0,,
53,Home,arkansasbeautycollege.us,2.82,50,268,http://wave.webaim.org/report?url=https://www.arkansasbeautycollege.us/,2,1,4,2,6,35,Arkansas Beauty College,Russellville,AR,1,1,3,,0.0,,14167.0,,,,3,,38.0,,10659.0
54,University of Arkansas at Monticello Home Page,uamont.edu,2.42,238,644,http://wave.webaim.org/report?url=www.uamont.edu/,0,2,103,12,47,74,University of Arkansas at Monticello,Monticello,AR,1,4,1,,0.0,18822.0,,7909.0,13759.0,1.0,1,3782431.0,2048.0,10451.0,
55,Black River Technical College - BRTC,blackrivertech.edu,5.82,119,558,http://wave.webaim.org/report?url=www.blackrivertech.edu/,32,29,18,20,19,1,Black River Technical College,Pocahontas,AR,2,2,1,,0.0,12970.0,,4118.0,6350.0,0.6277,2,125095.0,1105.0,4721.0,
56,"East Arkansas Community College | Forrest City, Arkansas",eacc.edu,3.22,89,613,http://wave.webaim.org/report?url=https://www.eacc.edu/,0,0,4,24,32,29,East Arkansas Community College,Forrest City,AR,1,2,1,,0.0,12762.0,,2925.0,3804.0,0.64,2,308845.0,652.0,6683.0,
57,University of the Ozarks | A Multidisciplinary Approach to Education,ozarks.edu,4.22,354,1467,http://wave.webaim.org/report?url=https://www.ozarks.edu/,1,0,57,65,33,198,University of the Ozarks,Clarksville,AR,3,3,2,0.559,0.0,34832.0,,25950.0,25950.0,0.8136,1,115067936.0,831.0,,14323.0
58,University of Arkansas - Fort Smith,uafs.edu,4.53,291,947,http://wave.webaim.org/report?url=uafs.edu/,0,0,4,15,88,184,University of Arkansas-Fort Smith,Fort Smith,AR,3,4,1,,0.0,17288.0,,5754.0,13026.0,0.6946,1,92925797.0,4615.0,9062.0,
59,Art and Design School | Academy of Art University,academyart.edu,16.97,666,2212,http://wave.webaim.org/report?url=www.academyart.edu/,42,6,89,44,85,400,Academy of Art University,San Francisco,CA,3,4,3,,0.0,43976.0,,24664.0,24664.0,0.2516,1,,6024.0,,36143.0
60,Become an Acupuncturist at a Top TCM and Acupuncture School,acchs.edu,7.63,329,1259,http://wave.webaim.org/report?url=www.acchs.edu/,16,47,28,53,52,133,Academy of Chinese Culture and Health Sciences,Oakland,CA,4,4,2,,0.0,,,,,,1,,,,
61,"Beauty School in Los Angeles, CA | American Beauty College",americanbeautycollege.edu,3.94,212,764,http://wave.webaim.org/report?url=https://www.americanbeautycollege.edu/,27,5,47,49,37,47,American Beauty College,West Covina,CA,1,1,3,,0.0,,17862.0,,,,3,,114.0,,13331.0
62,Home | American River College,arc.losrios.edu,5.53,922,2836,http://wave.webaim.org/report?url=https://www.arc.losrios.edu/,13,49,199,125,162,374,American River College,Sacramento,CA,2,2,1,,0.0,12243.0,,1288.0,9760.0,0.4238,2,,22433.0,5561.0,
63,Associated Technical College Los Angeles – An Education For Life,atcla.edu,3.22,50,304,http://wave.webaim.org/report?url=www.atcla.edu/,0,0,0,12,30,8,Associated Technical College-Los Angeles,Los Angeles,CA,1,1,3,,0.0,,27363.0,,,,3,,92.0,,22002.0
64,Home | California State University Stanislaus,csustan.edu,3.02,313,1035,http://wave.webaim.org/report?url=https://www.csustan.edu/,2,36,37,29,67,142,California State University-Stanislaus,Turlock,CA,3,4,1,0.8932,0.0,17424.0,,7584.0,19464.0,0.5195,1,16552261.0,9855.0,6566.0,
65,"California State University, East Bay",csueastbay.edu,5.42,1019,3459,http://wave.webaim.org/report?url=www.csueastbay.edu/,1,1,195,202,336,284,California State University-East Bay,Hayward,CA,3,4,1,0.7328,0.0,23357.0,,6890.0,18770.0,0.4428,1,17849631.0,13041.0,13298.0,
66,"California State University, Northridge",csun.edu,2.82,125,653,http://wave.webaim.org/report?url=https://www.csun.edu/,0,5,8,26,51,35,California State University-Northridge,Northridge,CA,3,4,1,0.6581,0.0,19794.0,,7017.0,18897.0,0.4663,1,136542253.0,34881.0,8523.0,
67,"California State University, Sacramento | Sacramento State",csus.edu,3.22,163,431,http://wave.webaim.org/report?url=https://www.csus.edu/,0,0,3,11,37,112,California State University-Sacramento,Sacramento,CA,3,4,1,0.8309,0.0,21576.0,,7418.0,19298.0,0.4812,1,51220288.0,29228.0,11178.0,
68,University of California San Diego,ucsd.edu,3.92,180,657,http://wave.webaim.org/report?url=www.ucsd.edu/,7,11,20,28,49,65,University of California-San Diego,La Jolla,CA,3,4,1,0.3661,0.0,33240.0,,14648.0,44402.0,0.8578,1,799390000.0,31827.0,15240.0,
69,Home | UC San Francisco -,ucsf.edu,3.02,526,1305,http://wave.webaim.org/report?url=ucsf.edu/,0,2,19,64,95,346,University of California-San Francisco,San Francisco,CA,4,4,1,,0.0,,,,,0.6578,1,1602091000.0,,,
70,HOME | Haven University,haven.edu,4.73,240,898,http://wave.webaim.org/report?url=www.haven.edu/,0,88,20,5,34,93,Haven University,Garden Grove,CA,3,4,2,,0.0,,,6860.0,6860.0,,1,,19.0,,
71,Cal Maritime Home,csum.edu,5.03,642,2564,http://wave.webaim.org/report?url=https://www.csum.edu/,1,1,30,130,358,122,California State University Maritime Academy,Vallejo,CA,3,4,1,0.8249,0.0,28149.0,,7160.0,19040.0,0.7241,1,9284095.0,907.0,21743.0,
72,Cañada College,canadacollege.edu,5.42,129,726,http://wave.webaim.org/report?url=canadacollege.edu/,0,2,19,15,42,51,Canada College,Redwood City,CA,2,2,1,,0.0,9662.0,,1362.0,9006.0,0.4242,2,,4279.0,2390.0,
73,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78,CET-San Diego,San Diego,CA,1,1,2,,0.0,,26564.0,,,,3,,197.0,,22231.0
74,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78,CET-San Jose,San Jose,CA,1,1,2,,0.0,,23292.0,,,,3,,171.0,,15686.0
75,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78,CET-El Centro,El Centro,CA,1,1,2,,0.0,,24894.0,,,,3,,144.0,,9324.0
76,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78,CET-Colton,Colton,CA,1,1,2,,0.0,,21465.0,,,,3,,135.0,,16180.0
77,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78,CET-Watsonville,Watsonville,CA,1,1,2,,0.0,,19092.0,,,,3,,116.0,,5868.0
78,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78,CET-Salinas,Salinas,CA,1,1,2,,0.0,,19827.0,,,,3,,163.0,,6961.0
79,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78,CET-Coachella,Coachella,CA,1,1,2,,0.0,,22669.0,,,,3,,79.0,,8517.0
80,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78,CET-Oxnard,Oxnard,CA,1,1,2,,0.0,,19527.0,,,,3,,83.0,,13323.0
81,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78,CET-Santa Maria,Santa Maria,CA,1,1,2,,0.0,,21951.0,,,,3,,132.0,,14029.0
82,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78,CET-Alexandria,Alexandria,VA,1,1,2,,0.0,,28020.0,,,,3,,101.0,,22900.0
83,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78,CET-El Paso,El Paso,TX,1,1,2,,0.0,,22382.0,,,,3,,77.0,,17980.0
84,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78,CET-Soledad,Soledad,CA,1,1,2,,0.0,,20862.0,,,,3,,124.0,,6377.0
85,San Diego Christian College - Live Life Beyond,sdcc.edu,5.43,273,1112,http://wave.webaim.org/report?url=sdcc.edu/,40,2,48,19,62,102,San Diego Christian College,Santee,CA,3,4,2,0.4967,0.0,47755.0,,33312.0,33312.0,0.0992,1,682348.0,449.0,,32024.0
86,Home - Church Divinity School of the Pacific,cdsp.edu,8.43,169,832,http://wave.webaim.org/report?url=www.cdsp.edu/,6,1,15,8,52,87,Church Divinity School of the Pacific,Berkeley,CA,4,4,2,,0.0,,,,,0.4615,1,15078755.0,,,
87,"The Official Website of Citrus College, Glendora, California",citruscollege.edu,5.33,221,871,http://wave.webaim.org/report?url=https://www.citruscollege.edu/,2,7,17,29,38,128,Citrus College,Glendora,CA,2,2,1,,0.0,12322.0,,1194.0,8562.0,0.3858,2,7395776.0,9953.0,4579.0,
88,Coastline College,coastline.edu,2.92,385,1186,http://wave.webaim.org/report?url=www.coastline.edu/,3,19,10,16,54,283,Coastline Community College,Fountain Valley,CA,2,2,1,,0.0,16142.0,,1160.0,7256.0,0.1831,2,6805860.0,7677.0,9206.0,
89,"Cuesta College Home | Cuesta College | San Luis Obispo, Paso Robles, Arroyo Grande",cuesta.edu,4.32,208,1131,http://wave.webaim.org/report?url=https://www.cuesta.edu/,0,11,22,51,94,30,Cuesta College,San Luis Obispo,CA,2,2,1,,0.0,18498.0,,1338.0,8898.0,0.3405,2,29883123.0,8005.0,11063.0,
90,De Anza College - Tops in Transfer,deanza.edu,4.02,139,621,http://wave.webaim.org/report?url=www.deanza.edu/,0,8,17,26,58,30,De Anza College,Cupertino,CA,2,2,1,,0.0,12838.0,,1561.0,10246.0,0.3725,2,13373090.0,16476.0,5394.0,
91,College of the Desert Home Page,collegeofthedesert.edu,3.63,176,781,http://wave.webaim.org/report?url=www.collegeofthedesert.edu/,3,5,32,46,19,71,College of the Desert,Palm Desert,CA,2,2,1,,0.0,19432.0,,1383.0,8943.0,0.3429,2,24246663.0,9670.0,12571.0,
92,Diablo Valley College,dvc.edu,8.07,243,928,http://wave.webaim.org/report?url=https://www.dvc.edu/,1,6,78,25,73,60,Diablo Valley College,Pleasant Hill,CA,2,2,1,,0.0,13754.0,,1312.0,8328.0,0.3825,2,7887576.0,16632.0,6678.0,
93,"Emperors Acupuncture School, Los Angeles CA. Ranked #1 in California.",emperors.edu,2.42,65,657,http://wave.webaim.org/report?url=www.emperors.edu/,1,0,13,15,36,0,Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,4,4,3,,0.0,,,,,,1,,,,
94,Holy Names University,hnu.edu,4.62,594,2199,http://wave.webaim.org/report?url=www.hnu.edu/,8,5,10,255,273,43,Holy Names University,Oakland,CA,3,4,2,0.8912,0.0,57486.0,,40904.0,40904.0,0.2186,1,54171145.0,703.0,,22527.0
95,Home Page - IBT Tech San Jose Career College,ibt.edu,4.02,539,1276,http://wave.webaim.org/report?url=https://ibt.edu/,31,28,49,48,57,326,Institute for Business and Technology,Santa Clara,CA,1,2,3,,0.0,,29905.0,,,0.48,2,,579.0,,26881.0
96,Home | LABI.EDU,labi.edu,4.74,207,729,http://wave.webaim.org/report?url=labi.edu/,1,7,23,11,27,138,Latin American Bible Institute,La Puente,CA,2,3,2,0.7273,0.0,,,7200.0,7200.0,,1,18037.0,60.0,,
97,"La Sierra University - Riverside, CA",lasierra.edu,4.02,631,1532,http://wave.webaim.org/report?url=https://lasierra.edu/,8,464,27,14,31,87,La Sierra University,Riverside,CA,3,4,2,0.5697,0.0,45629.0,,35208.0,35208.0,0.4387,1,20118049.0,1462.0,,22909.0
