wave.pageurl,wave.time,wave.allitemcount,wave.totalelements,wave.error.count,wave.contrast.count,wave.alert.count,wave.feature.count,wave.structure.count,wave.aria.count,ipeds.schoolname,ipeds.city,ipeds.state,ipeds.degrees_awarded.predominant,ipeds.degrees_awarded.highest,ipeds.ownership,ipeds.admission_rate.overall,ipeds.online_only,ipeds.tuition.in_state,ipeds.tuition.out_of_state,ipeds.ft_faculty_rate,ipeds.institutional_characteristics.level,ipeds.endowment.begin,ipeds.size,calc.avg_net_price,calc.attendance_cost,calc.above_average_errors
amtec.edu,5.52,294,1141,19,28,28,49,60,110,American Technical Institute,Bayamon,PR,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,21,5058,9589,Better than Average
haven.edu,4.73,240,898,0,88,20,5,34,93,Haven University,Garden Grove,CA,Bachelor's,Bachelor's,Private nonprofit,,Not online only,6860,6860,,4-year,,22,,,Better than Average
cttc.edu,4.52,242,1345,4,0,24,18,52,144,Chisholm Trail Technology Center,Omega,OK,Certificate,Certificate,Public,,Not online only,,,,Less-than-2-year,,22,5324,6910,Better than Average
ljic.edu,4.92,569,1611,44,23,22,30,50,400,La James International College-Cedar Falls,Cedar Falls,IA,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,23,20702,24531,Worse than Average
tsbc.edu,6.83,440,1389,13,7,28,28,52,312,Tri-State Bible College,South Point,OH,Bachelor's,Bachelor's,Private nonprofit,,Not online only,9100,9100,,4-year,,23,,,Better than Average
headmasters.edu,4.93,62,373,2,14,24,6,16,0,Headmasters School of Hair Design,Lewiston,ID,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,26,11283,16109,Better than Average
hccollege.edu,6.83,106,389,2,35,14,7,8,40,Hollywood Cultural College,Los Angeles,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,26,,,Better than Average
lsuhs.edu,7.13,2717,4360,112,12,340,6,193,2054,Louisiana State University Health Sciences Center-Shreveport,Shreveport,LA,Bachelor's,Graduate,Public,,Not online only,,,0.9375,4-year,191669223,27,,,Worse than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Ontario,Ontario,OH,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,28,17647,23403,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Brighton,Brighton,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,29,17069,20498,Better than Average
paulmitchell.edu/rockville,2.82,89,480,0,3,18,18,27,23,Hair Expressions Academy,Rockville,MD,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,29,15203,19565,Better than Average
washingtonbarbercollege.edu,4.83,99,421,4,7,50,12,25,1,Washington Barber College Inc,Little Rock,AR,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,29,14375,20378,Better than Average
thechicagoschool.edu/chicago,6.55,276,1579,0,4,14,22,61,175,The Chicago School of Professional Psychology at Chicago,Chicago,IL,Graduate,Graduate,Private nonprofit,,Not online only,12712,12712,1,4-year,11960390,30,,,Better than Average
smat.edu,5.92,84,504,2,2,16,11,31,22,School of Missionary Aviation Technology,Ionia,MI,Certificate,Certificate,Private nonprofit,,Not online only,,,,2-year,,30,15679,17384,Better than Average
yacollege.edu,3.92,78,626,2,21,10,9,24,12,Young Americans College of the Performing Arts,Corona,CA,Associate,Associate,Private nonprofit,0.1923,Not online only,14030,14030,,2-year,78037,30,,,Better than Average
familyoffaith.edu,2.62,115,441,16,29,2,3,30,35,Family of Faith Christian University,Shawnee,OK,Graduate,Graduate,Private nonprofit,,Not online only,8040,8040,,4-year,,31,,,Better than Average
imu.edu,5.43,36,241,2,3,2,6,18,5,Institute of Medical Ultrasound,Atlanta,GA,Certificate,Certificate,Private for-profit,,Not online only,28100,28100,,Less-than-2-year,,32,50526,53304,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Ann Arbor,Ann Arbor,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,33,17763,23312,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Morgantown,Morgantown,WV,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,33,19474,24954,Better than Average
pctc.edu,3.32,80,461,4,1,1,11,19,44,Putnam Career and Technical Center,Eleanor,WV,Certificate,Certificate,Public,,Not online only,,,,Less-than-2-year,,33,,,Better than Average
bestcarecollege.edu,2.82,138,426,7,0,29,28,30,44,Best Care College,East Orange,NJ,Certificate,Associate,Private for-profit,,Not online only,,,,2-year,,33,,,Better than Average
aiofhampton.edu,7.83,240,593,20,20,26,11,52,111,Asher Institute of Hampton,Hampton,VA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,34,18234,23488,Better than Average
dmi.edu,5.13,536,1303,4,60,40,15,63,354,Digital Media Institute,Shreveport,LA,Certificate,Certificate,Private nonprofit,1,Not online only,,,,2-year,,34,26886,29216,Better than Average
sjvc.edu,4.63,130,732,0,6,19,25,50,30,San Joaquin Valley College-Atascadero,Atascadero,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,35,25556,30138,Better than Average
sjvc.edu,4.32,141,763,0,6,22,29,51,33,San Joaquin Valley College-Atascadero,Atascadero,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,35,25556,30138,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-New Baltimore,New Baltimore,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,35,16595,20654,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Port Huron,Port Huron,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,36,17799,23142,Better than Average
cetweb.edu,11.94,298,1474,26,11,52,71,60,78,CET-El Paso,El Paso,TX,Certificate,Certificate,Private nonprofit,,Not online only,,,,Less-than-2-year,,39,17206,21936,Better than Average
pltc.edu,4.02,571,1367,8,4,5,40,41,473,Pike-Lincoln Technical Center,Eolia,MO,Certificate,Certificate,Public,,Not online only,,,,Less-than-2-year,,39,8863,14504,Better than Average
imti.edu,3.82,159,623,12,11,29,5,54,48,Industrial Management Training Institute,Waterbury,CT,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,39,36444,41021,Better than Average
evolvebeautyacademy.edu,3.52,98,422,3,1,8,3,23,60,Evolve Beauty Academy,Washing,MO,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,39,12898,16077,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Owensboro,Owensboro,KY,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,40,18817,25541,Better than Average
abtu.edu,5.74,143,787,25,22,6,11,68,11,American Business and Technology University,St Joseph,MO,Certificate,Bachelor's,Private for-profit,,Online only,,,,4-year,,41,,,Better than Average
amu.edu,3.52,315,1236,9,12,29,26,35,204,Alhambra Medical University,Alhambra,CA,Graduate,Graduate,Private for-profit,,Not online only,,,,4-year,,43,,,Better than Average
lajames.edu,8.03,186,825,12,38,19,23,36,58,La James College of Hairstyling and Cosmetology,Mason City,IA,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,44,6755,14662,Better than Average
cmctx.edu,7.73,177,983,8,3,14,12,31,109,Christ Mission College,San Antonio,TX,Bachelor's,Bachelor's,Private nonprofit,,Not online only,7812,7812,,4-year,40000,44,10439,13812,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Battle Creek,Battle Creek,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,45,19507,24787,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Davison,Davison,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,45,19361,24848,Better than Average
uinternational.edu,7.03,323,1419,28,29,127,59,57,23,United International College,Miramar,FL,Bachelor's,Bachelor's,Private for-profit,,Not online only,8907,8907,,4-year,,45,18610,24955,Better than Average
ljic.edu,4.92,569,1611,44,23,22,30,50,400,La James International College-Johnston,Johnston,IA,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,46,13667,19568,Worse than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Taylor,Taylor,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,46,17925,23568,Better than Average
psm.edu,5.22,604,1759,1,12,41,15,77,458,Ponce Health Sciences University-East,Ponce,PR,Bachelor's,Graduate,Private for-profit,0.4872,Not online only,11087,19477,0.4333,4-year,,47,13812,21430,Better than Average
lapacific.edu,10.65,284,1164,13,8,28,37,30,168,Los Angeles Pacific College,Los Angeles,CA,Certificate,Associate,Private for-profit,,Not online only,7130,7130,,2-year,,47,,,Better than Average
paulmitchell.edu/nyc,2.55,75,421,0,3,17,13,24,18,Paul Mitchell the School-NYC,Staten Island,NY,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,47,18946,21682,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross College-Davenport,Davenport,IA,Certificate,Associate,Private for-profit,,Not online only,,,,2-year,,48,10181,17214,Better than Average
antiochsb.edu,5.83,422,1278,4,17,26,10,108,257,Antioch University-Santa Barbara,Santa Barbara,CA,Bachelor's,Graduate,Private nonprofit,,Not online only,,,,4-year,696257,48,,,Better than Average
labi.edu,4.74,207,729,1,7,23,11,27,138,Latin American Bible Institute,La Puente,CA,Associate,Bachelor's,Private nonprofit,0.3623,Not online only,9640,9640,,4-year,48197,49,6516,11300,Better than Average
nftc.edu,4.23,787,1527,1,14,20,24,77,651,North Florida Technical College,Starke,FL,Certificate,Certificate,Public,,Not online only,,,,Less-than-2-year,,51,3882,9102,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Bowling Green,Bowling Green,KY,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,51,17677,23240,Better than Average
fiupensacola.edu,7.93,111,315,20,21,36,2,20,12,Florida Institute of Ultrasound Inc,Pensacola,FL,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,53,,,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Johnson City,Johnson City,TN,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,53,18203,24509,Better than Average
keenebeautyacademy.edu,5.63,50,398,0,1,8,11,22,8,Keene Beauty Academy,Keene,NH,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,53,14940,18241,Better than Average
icb.edu,5.53,339,1283,10,29,60,66,44,130,International College of Broadcasting,Dayton,OH,Associate,Associate,Private for-profit,,Not online only,11930,11930,,2-year,,55,20254,23514,Better than Average
texascountytech.edu,2.42,47,299,0,1,5,11,23,7,Texas County Technical College,Houston,MO,Associate,Associate,Private nonprofit,0.7,Not online only,18240,18240,,2-year,,55,20448,27527,Better than Average
topofthelinebarbercollege.edu,4.33,89,427,4,0,6,3,19,57,Top of the Line Barber College,Charleston,SC,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,56,14862,18900,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Lafayette,Lafayette,IN,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,58,18871,24737,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Elyria,Elyria,OH,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,60,18644,23839,Better than Average
asicollege.edu,2.12,23,113,7,0,16,0,0,0,Advance Science International College,Miami Lakes,FL,Associate,Associate,Private for-profit,,Not online only,,,,2-year,,62,31321,34644,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Midland,Midland,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,63,19340,24117,Better than Average
alu.edu,4.93,311,1796,14,30,41,46,72,108,Abraham Lincoln University,Glendale,CA,Bachelor's,Graduate,Private for-profit,,Online only,6440,6440,,4-year,,63,,,Better than Average
paloaltou.edu,3.32,127,645,4,15,20,10,22,56,Palo Alto University,Palo Alto,CA,Bachelor's,Graduate,Private nonprofit,,Not online only,,,0.6071,4-year,601239,64,,,Better than Average
sjvc.edu,4.63,130,732,0,6,19,25,50,30,San Joaquin Valley College-Madera,Madera,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,65,17941,22063,Better than Average
sjvc.edu,4.32,141,763,0,6,22,29,51,33,San Joaquin Valley College-Madera,Madera,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,65,17941,22063,Better than Average
salonschools.ohiostate.edu,3.42,213,815,15,21,12,20,42,103,Ohio State School of Cosmetology-Heath,Heath,OH,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,66,15756,18780,Better than Average
sjvc.edu,4.63,130,732,0,6,19,25,50,30,San Joaquin Valley College-Porterville,Porterville,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,67,22915,27831,Better than Average
sjvc.edu,4.32,141,763,0,6,22,29,51,33,San Joaquin Valley College-Porterville,Porterville,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,67,22915,27831,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Saginaw,Saginaw,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,67,19048,24563,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross College-Hopkinsville,Hopkinsville,KY,Certificate,Associate,Private for-profit,,Not online only,,,,2-year,,67,17794,23782,Better than Average
vogue.edu,4.22,179,760,7,5,21,21,37,88,Vogue College of Cosmetology-Santa Fe,Santa Fe,NM,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,67,17007,20533,Better than Average
herzing.edu,3.22,328,1725,20,9,30,43,39,187,Herzing University-Tampa,Tampa,FL,Associate,,Private nonprofit,0.963,Not online only,14200,14200,,4-year,,68,,,Better than Average
ussa.edu,6.53,246,1604,3,3,19,38,87,96,United States Sports Academy,Daphne,AL,Bachelor's,Graduate,Private nonprofit,1,Online only,16418,16418,0.4167,4-year,1000000,68,,,Better than Average
merrelluniversity.edu,5.63,280,860,23,42,58,14,45,98,Missouri College of Cosmetology and Esthetics,Jefferson City,MO,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,68,18895,22682,Better than Average
shaarhatorah.edu,2.02,3,7,1,0,2,0,0,0,Yeshivath Shaar Hatorah,Kew Gardens,NY,Bachelor's,Bachelor's,Private nonprofit,0.825,Not online only,17860,17860,,4-year,57047,68,,,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Charleston,Charleston,WV,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,71,18156,23355,Better than Average
ssag.edu,7.73,172,1069,8,18,24,14,53,55,Summit Salon Academy-Gainesville,Gainesville,FL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,71,19500,23672,Better than Average
adrians.edu,5.12,134,718,16,14,9,22,41,32,Adrian's Beauty College of Turlock,Turlock,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,72,18381,22297,Better than Average
pcage.edu,2.73,115,508,5,13,18,7,31,41,PC AGE-Metropark,Iselin,NJ,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,72,16069,19813,Better than Average
paulmitchell.edu/fortlauderdale,2.62,79,454,0,3,18,13,27,18,Paul Mitchell the School-Fort Lauderdale,Plantation,FL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,72,22371,27225,Better than Average
bellmar.edu,2.72,95,400,7,25,11,8,22,22,Bell Mar Beauty College,Cicero,IL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,73,8974,13720,Better than Average
ljic.edu,4.92,569,1611,44,23,22,30,50,400,La James International College-Davenport,Davenport,IA,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,74,17688,21134,Worse than Average
compass.edu,3.62,198,845,4,12,24,7,27,124,Compass College of Film and Media,Grand Rapids,MI,Bachelor's,Bachelor's,Private nonprofit,0.5349,Not online only,17280,17280,,4-year,,74,21884,26967,Better than Average
sjvc.edu,4.63,130,732,0,6,19,25,50,30,San Joaquin Valley College-Hanford Classroom,Hanford,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,75,22432,26036,Better than Average
sjvc.edu,4.32,141,763,0,6,22,29,51,33,San Joaquin Valley College-Hanford Classroom,Hanford,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,75,22432,26036,Better than Average
tricociuniversity.edu,5.04,192,822,14,41,13,28,56,40,Tricoci University of Beauty Culture-Normal,Normal,IL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,77,16187,20368,Better than Average
rosedale.edu,7.34,638,2493,12,18,60,35,94,419,Rosedale Bible College,Irwin,OH,Associate,Associate,Private nonprofit,,Not online only,9118,9118,,2-year,436737,77,7707,18307,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Kokomo,Kokomo,IN,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,79,17493,24323,Better than Average
pelotoncollege.edu,5.23,229,902,5,9,21,56,39,99,Peloton College,Dallas,TX,Certificate,Associate,Private for-profit,,Not online only,,,,2-year,,79,17057,20649,Better than Average
cintaaveda.edu,5.23,129,749,4,0,16,20,37,52,Cinta Aveda Institute,San Francisco,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,79,20106,23769,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Canton,Canton,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,80,17407,22252,Better than Average
potomac.edu,5.34,1293,3119,28,22,59,48,139,997,University of the Potomac-VA Campus,FALLS CHURCH,VA,Bachelor's,Graduate,Private for-profit,,Not online only,6660,6660,,4-year,,80,,,Better than Average
mediatech.edu,10.25,328,1872,8,57,97,67,81,18,MediaTech Institute-Houston,Houston,TX,Associate,Associate,Private for-profit,,Not online only,,,,2-year,,80,18559,23832,Better than Average
summitsalonacademyperrysburg.edu,8.33,365,1264,38,7,27,19,28,246,Summit Salon Academy-Perrysburg,Perrysburg,OH,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,80,11881,13867,Worse than Average
kba.edu,4.32,176,820,3,5,60,22,44,42,Kaizen Beauty Academy,Pembroke Pines,FL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,80,,,Better than Average
htc.edu,2.52,56,196,0,6,12,15,10,13,Hebrew Theological College,Skokie,IL,Bachelor's,Bachelor's,Private nonprofit,0.8,Not online only,13760,13760,0.4054,4-year,1078617,81,14041,21030,Better than Average
cetweb.edu,11.94,298,1474,26,11,52,71,60,78,CET-Alexandria,Alexandria,VA,Certificate,Certificate,Private nonprofit,,Not online only,,,,Less-than-2-year,,82,24351,28161,Better than Average
academycollege.edu,5.13,191,642,13,28,23,18,55,54,Academy College,Bloomington,MN,Bachelor's,Bachelor's,Private for-profit,,Not online only,18644,18644,,4-year,,82,30682,38182,Better than Average
merryfield.edu,3.95,214,657,5,39,15,20,39,96,Merryfield School of Pet Grooming,Oakland Park,FL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,83,13568,16668,Better than Average
fpti.edu,3.62,353,1250,8,80,83,77,45,60,Focus Personal Training Institute,New York,NY,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,83,25947,28283,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Huntsville,Huntsville,AL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,84,18385,24186,Better than Average
nyctcm.edu,2.02,70,901,6,12,15,2,35,0,New York College of Traditional Chinese Medicine,Mineola,NY,Graduate,Graduate,Private nonprofit,,Not online only,,,,4-year,,84,,,Better than Average
sjvc.edu,4.63,130,732,0,6,19,25,50,30,San Joaquin Valley College-Delano,Delano,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,85,17945,22710,Better than Average
sjvc.edu,4.32,141,763,0,6,22,29,51,33,San Joaquin Valley College-Delano,Delano,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,85,17945,22710,Better than Average
genesiscareer.edu/loraines-academy-spa-st-petersburg-fl,4.1,178,991,3,8,8,16,71,72,Loraines Academy & Spa,Saint Petersburg,FL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,85,12447,16518,Better than Average
ibw.edu,8.95,423,2250,21,30,119,91,69,93,Aveda Institute-Madison,Madison,WI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,85,15136,15981,Better than Average
cetweb.edu,11.94,298,1474,26,11,52,71,60,78,CET-Coachella,Coachella,CA,Certificate,Certificate,Private nonprofit,,Not online only,,,,Less-than-2-year,,87,15398,24291,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Lansing,Lansing,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,87,18773,24008,Better than Average
fortis.edu,8.04,893,2454,45,11,23,204,153,457,Fortis College-Foley,Foley,AL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,89,17358,21507,Worse than Average
salonschools.ohiostate.edu,3.42,213,815,15,21,12,20,42,103,Ohio State School of Cosmetology-Canal Winchester,CANAL WINCHESTER,OH,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,89,14787,18715,Better than Average
cetweb.edu,11.94,298,1474,26,11,52,71,60,78,CET-Watsonville,Watsonville,CA,Certificate,Certificate,Private nonprofit,,Not online only,,,,Less-than-2-year,,90,13556,23101,Better than Average
valley.edu,3.42,379,1267,0,54,171,27,68,59,Valley College-Beckley,Beckley,WV,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,90,23835,31710,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Evansville,Evansville,IN,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,91,19268,25376,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center - Kalamazoo,Kalamazoo,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,91,18328,23695,Better than Average
cac.edu,3.57,164,632,5,13,33,45,40,28,Corinth Academy of Cosmetology,Corinth,MS,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,91,21711,27530,Better than Average
calmu.edu,3.42,599,1788,27,0,23,92,85,372,California Miramar University,San Diego,CA,Bachelor's,Graduate,Private for-profit,0.5652,Not online only,9994,9994,,4-year,,91,14906,21634,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross Medical Education Center-Knoxville,Knoxville,TN,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,92,19388,24661,Better than Average
